Date,Open,High,Low,Close,Adj Close,Volume
2004-05-31,5.861500,5.861500,5.861500,5.861500,4.605331,64420
2004-06-01,5.861500,5.861500,5.861500,5.861500,4.605331,1611
2004-06-02,5.861500,5.960840,5.861500,5.960840,4.683383,47510
2004-06-03,5.985680,5.985680,5.985680,5.985680,4.702900,4026
2004-06-04,6.035360,6.035360,6.035360,6.035360,4.741933,2416
2004-06-07,6.085030,6.085030,6.085030,6.085030,4.780958,53147
2004-06-08,6.085030,6.085030,6.060190,6.085030,4.780958,57173
2004-06-09,6.010520,6.035360,6.010520,6.010520,4.722414,9663
2004-06-10,6.010520,6.010520,6.010520,6.010520,4.722414,0
2004-06-11,6.010520,6.010520,6.010520,6.010520,4.722414,0
2004-06-14,6.010520,6.010520,6.010520,6.010520,4.722414,0
2004-06-15,5.911170,5.960840,5.911170,5.960840,4.683383,5637
2004-06-16,5.960840,5.960840,5.960840,5.960840,4.683383,0
2004-06-17,5.960840,5.960840,5.960840,5.960840,4.683383,0
2004-06-18,5.960840,5.960840,5.960840,5.960840,4.683383,0
2004-06-21,6.010520,6.010520,6.010520,6.010520,4.722414,1611
2004-06-22,6.010520,6.010520,6.010520,6.010520,4.722414,0
2004-06-23,6.010520,6.010520,6.010520,6.010520,4.722414,235940
2004-06-24,6.010520,6.010520,6.010520,6.010520,4.722414,12884
2004-06-25,6.010520,6.209210,6.010520,6.209210,4.878528,10468
2004-06-28,6.209210,6.209210,6.209210,6.209210,4.878528,0
2004-06-29,6.209210,6.333400,6.209210,6.333400,4.976101,244798
2004-06-30,6.333400,6.333400,6.333400,6.333400,4.976101,12079
2004-07-01,6.358230,6.358230,6.358230,6.358230,4.995610,15300
2004-07-02,6.358230,6.358230,6.358230,6.358230,4.995610,0
2004-07-05,6.457580,6.457580,6.457580,6.457580,5.073666,16105
2004-07-06,6.457580,6.457580,6.457580,6.457580,5.073666,805
2004-07-07,6.457580,6.457580,6.457580,6.457580,5.073666,0
2004-07-08,6.457580,6.457580,6.457580,6.457580,5.073666,7247
2004-07-09,6.457580,6.457580,6.457580,6.457580,5.073666,0
2004-07-12,6.457580,6.457580,6.457580,6.457580,5.073666,0
2004-07-13,6.457580,6.457580,6.432740,6.457580,5.073666,113541
2004-07-14,6.457580,6.507260,6.457580,6.457580,5.073666,53952
2004-07-15,6.457580,6.457580,6.457580,6.457580,5.073666,2416
2004-07-16,6.457580,6.457580,6.457580,6.457580,5.073666,3221
2004-07-19,6.457580,6.457580,6.457580,6.457580,5.073666,3221
2004-07-20,6.457580,6.457580,6.457580,6.457580,5.073666,17716
2004-07-21,6.457580,6.457580,6.457580,6.457580,5.073666,8053
2004-07-22,6.333400,6.333400,6.333400,6.333400,4.976101,11274
2004-07-23,6.308560,6.383070,6.308560,6.383070,5.015125,12884
2004-07-26,6.209210,6.209210,6.209210,6.209210,4.878528,805
2004-07-27,6.209210,6.209210,6.209210,6.209210,4.878528,0
2004-07-28,6.308560,6.308560,6.308560,6.308560,4.956584,4026
2004-07-29,6.333400,6.333400,6.333400,6.333400,4.976101,805
2004-07-30,6.209210,6.209210,6.209210,6.209210,4.878528,5637
2004-08-02,6.209210,6.209210,6.159540,6.159540,4.839501,1611
2004-08-03,6.159540,6.209210,6.159540,6.159540,4.839501,11274
2004-08-04,6.159540,6.283720,6.159540,6.283720,4.937067,137699
2004-08-05,6.283720,6.358230,6.209210,6.209210,4.878528,37847
2004-08-06,6.159540,6.209210,6.159540,6.209210,4.878528,12079
2004-08-09,6.209210,6.234050,6.209210,6.209210,4.878528,16910
2004-08-10,6.258890,6.283720,6.258890,6.283720,4.937067,8858
2004-08-11,6.283720,6.283720,6.283720,6.283720,4.937067,41068
2004-08-12,6.308560,6.308560,6.308560,6.308560,4.956584,4832
2004-08-13,6.308560,6.308560,6.308560,6.308560,4.956584,0
2004-08-16,6.308560,6.308560,6.308560,6.308560,4.956584,4026
2004-08-17,6.308560,6.333400,6.308560,6.333400,4.976101,12079
2004-08-18,6.308560,6.532090,6.258890,6.532090,5.132209,104683
2004-08-19,6.532090,6.755620,6.532090,6.705950,5.268811,102267
2004-08-20,6.705950,6.830130,6.705950,6.830130,5.366378,118372
2004-08-23,6.830130,6.830130,6.730790,6.780460,5.327352,54757
2004-08-24,6.705950,6.705950,6.705950,6.705950,5.268811,8053
2004-08-25,6.830130,6.830130,6.705950,6.805300,5.346867,3221
2004-08-26,6.755620,6.755620,6.755620,6.755620,5.307836,8053
2004-08-27,6.681110,6.681110,6.581770,6.581770,5.171244,4026
2004-08-30,6.457580,6.457580,6.457580,6.457580,5.073666,6442
2004-08-31,6.457580,6.457580,6.333400,6.333400,4.976101,12079
2004-09-01,6.358230,6.358230,6.358230,6.358230,4.995610,2416
2004-09-02,6.383070,6.383070,6.358230,6.383070,5.015125,17716
2004-09-03,6.333400,6.457580,6.333400,6.383070,5.015125,49121
2004-09-06,6.407910,6.407910,6.407910,6.407910,5.034643,5637
2004-09-07,6.407910,6.407910,6.407910,6.407910,5.034643,0
2004-09-08,6.457580,6.507260,6.457580,6.507260,5.112700,33015
2004-09-09,6.457580,6.457580,6.333400,6.457580,5.073666,33821
2004-09-10,6.432740,6.457580,6.333400,6.333400,4.976101,86968
2004-09-13,6.457580,6.507260,6.333400,6.507260,5.112700,11274
2004-09-14,6.507260,6.581770,6.507260,6.581770,5.171244,5637
2004-09-15,6.532090,6.705950,6.507260,6.581770,5.171244,202119
2004-09-16,6.507260,6.705950,6.507260,6.705950,5.268811,19326
2004-09-17,6.705950,6.830130,6.681110,6.805300,5.346867,54757
2004-09-20,6.805300,7.028830,6.805300,7.028830,5.522494,8053
2004-09-21,6.979160,6.979160,6.929480,6.929480,5.444435,5637
2004-09-22,6.854970,6.854970,6.854970,6.854970,5.385893,3221
2004-09-23,6.805300,6.854970,6.805300,6.854970,5.385893,29794
2004-09-24,6.954320,6.954320,6.805300,6.805300,5.346867,9663
2004-09-27,6.805300,6.805300,6.805300,6.805300,5.346867,0
2004-09-28,6.830130,6.830130,6.705950,6.705950,5.268811,41873
2004-09-29,6.730790,6.730790,6.730790,6.730790,5.288328,3221
2004-09-30,6.755620,6.805300,6.755620,6.780460,5.327352,8858
2004-10-01,6.830130,6.954320,6.830130,6.954320,5.463951,50731
2004-10-04,6.954320,7.053670,6.954320,6.954320,5.463951,20131
2004-10-05,6.954320,6.954320,6.954320,6.954320,5.463951,18521
2004-10-06,6.954320,7.078500,6.954320,7.078500,5.561520,103073
2004-10-07,7.078500,7.078500,7.078500,7.078500,5.561520,14495
2004-10-08,7.202690,7.202690,7.078500,7.078500,5.561520,37847
2004-10-11,7.078500,7.078500,7.078500,7.078500,5.561520,0
2004-10-12,7.078500,7.078500,7.078500,7.078500,5.561520,0
2004-10-13,7.202690,7.202690,7.202690,7.202690,5.659096,4026
2004-10-14,7.078500,7.128180,7.078500,7.078500,5.561520,3221
2004-10-15,7.078500,7.202690,7.078500,7.078500,5.561520,83747
